filename,motifId,meanScore,medianScore,meanPercentile,medianPercentile,meanInteriorEditDistance,medianInteriorEditDistance,meanFullEditDistance,medianFullEditDistance,rotation
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_13959.2,-16.215,-16.222,15.920,15.570,2.4000,2.0000,4.0667,4.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_15205.1,-28.978,-29.060,1.2913,1.1600,6.5333,7.0000,7.9333,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_15840.2,-19.685,-19.432,18.548,19.570,5.4000,5.0000,6.6000,6.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_16166.2,-34.800,-34.316,0.0000,0.0000,5.0000,5.0000,6.4000,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_16252.3,-28.612,-28.882,0.028000,0.020000,7.3333,7.0000,8.0000,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_16330.1,-102.83,-102.67,0.0000,0.0000,20.067,20.000,21.867,22.000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_16377.1,-29.219,-29.213,0.0000,0.0000,4.7333,5.0000,6.3333,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_16415.1,-36.363,-35.542,0.12400,0.13000,7.4000,7.0000,9.2667,9.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_17603.1,-21.907,-21.719,32.207,32.870,4.4667,4.0000,6.6000,7.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_17682.1,-44.586,-42.908,0.20667,0.22000,9.2000,9.0000,10.333,10.000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_18755.1,-28.350,-28.784,0.0000,0.0000,5.0000,5.0000,6.8000,7.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_20775.1,-20.121,-19.998,1.0800,1.0600,3.4000,3.0000,5.6667,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_21254.1,-84.627,-84.568,0.0000,0.0000,7.8667,8.0000,8.5333,9.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_21304.1,-23.509,-24.389,0.60067,0.29000,4.0000,4.0000,5.3333,5.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_21333.1,-14.422,-14.192,51.813,54.460,2.8000,3.0000,4.2667,4.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_21421.1,-55.007,-55.025,0.0086667,0.010000,12.467,12.000,14.200,14.000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_21495.1,-38.233,-38.460,0.10467,0.050000,7.9333,8.0000,10.067,10.000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_22579.1,-21.827,-21.700,0.53200,0.46000,4.4000,4.0000,5.3333,5.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_22732.1,-14.543,-13.868,37.725,45.630,2.6000,3.0000,3.6667,3.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_23262.3,-27.053,-26.218,0.76733,0.56000,4.0667,4.0000,7.6667,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_23414.1,-41.119,-41.903,12.254,7.3600,14.400,14.000,16.333,16.000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_23448.1,-33.948,-33.916,0.0000,0.0000,3.5333,4.0000,6.5333,7.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_23639.1,-15.321,-14.891,34.895,40.140,3.6667,3.0000,5.5333,5.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_24546.2,-48.224,-48.702,0.0000,0.0000,5.4667,5.0000,7.8000,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_24982.3,-7.4925,-7.3939,99.685,99.730,1.0000,1.0000,1.0000,1.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_25082.1,-50.816,-50.919,0.0013333,0.0000,10.933,11.000,12.667,13.000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_25174.1,-22.606,-23.317,0.096667,0.040000,3.4000,3.0000,6.4667,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_25181.1,-29.545,-29.885,5.4093,3.6900,7.2667,7.0000,8.7333,9.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_25230.2,-43.516,-42.784,0.57067,0.59000,9.5333,9.0000,10.333,10.000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_25271.1,-32.726,-32.221,4.2953,3.6600,7.1333,7.0000,10.067,10.000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_25300.1,-33.821,-33.690,0.0000,0.0000,4.0000,4.0000,5.6000,6.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_25307.1,-16.759,-16.858,4.8107,3.7800,3.4000,3.0000,6.2000,6.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_26868.1,-16.490,-17.148,55.908,51.350,3.3333,4.0000,5.8667,6.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_26971.1,-21.638,-21.849,7.4513,2.8100,4.8667,5.0000,8.7333,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_27243.1,-84.622,-84.568,0.0000,0.0000,8.4667,8.0000,9.3333,9.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_27618.2,-20.357,-20.842,0.23533,0.14000,2.8000,3.0000,4.4000,5.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_27668.1,-43.146,-43.979,0.0000,0.0000,7.1333,7.0000,9.2667,9.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_27892.1,-34.796,-35.334,0.0000,0.0000,4.2000,4.0000,6.4000,6.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_28572.1,-33.580,-33.371,21.855,20.740,8.8667,9.0000,10.600,11.000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_28942.1,-31.880,-31.850,0.00066667,0.0000,4.7333,5.0000,6.2000,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_30840.1,-22.707,-22.156,3.7113,3.7800,4.9333,5.0000,8.3333,8.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_31006.1,-21.819,-20.691,27.695,36.490,6.0667,6.0000,8.0667,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_31066.2,-24.610,-25.405,0.026667,0.010000,4.0667,4.0000,5.6000,5.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_31241.1,-28.714,-28.782,0.0000,0.0000,5.3333,5.0000,7.2667,7.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_31555.3,-14.301,-14.562,46.367,42.650,3.3333,3.0000,5.0000,5.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_31707.1,-41.143,-41.085,0.0000,0.0000,6.2000,6.0000,8.5333,9.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_31754.1,-32.526,-31.548,14.871,14.350,6.7333,7.0000,8.9333,9.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_34156.5,-25.078,-25.191,0.0000,0.0000,3.5333,3.0000,5.9333,6.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_34363.1,-43.304,-43.978,0.015333,0.0000,6.0667,6.0000,7.6667,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_34628.2,-39.729,-39.272,0.012000,0.010000,6.6667,7.0000,8.2000,8.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_36254.1,-22.444,-23.093,0.061333,0.030000,3.7333,4.0000,6.3333,6.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_37053.1,-25.295,-24.424,41.256,46.140,5.7333,6.0000,6.8667,7.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_37197.1,-31.104,-31.757,0.081333,0.030000,5.1333,5.0000,7.2000,8.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_37347.1,-39.841,-39.542,0.26667,0.080000,7.8667,8.0000,11.133,11.000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_37406.1,-34.184,-33.796,0.0000,0.0000,6.0667,6.0000,7.1333,7.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_37715.1,-43.252,-42.942,0.035333,0.030000,8.9333,9.0000,10.933,11.000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_37990.1,-22.167,-21.990,37.133,38.080,7.9333,8.0000,8.4667,8.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_38807.2,-29.393,-29.160,1.0113,0.81000,6.0000,6.0000,6.8667,7.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_38960.1,-14.622,-13.514,88.749,94.210,3.2000,3.0000,4.1333,4.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_39199.2,-32.909,-32.305,0.0000,0.0000,3.6000,4.0000,5.0667,5.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_39324.1,-54.820,-55.072,0.014667,0.010000,13.000,13.000,15.267,15.000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_39526.4,-42.574,-42.088,0.0000,0.0000,5.8000,6.0000,9.1333,9.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_40090.2,-18.534,-18.479,1.2953,1.0900,3.6667,4.0000,5.8000,6.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_40387.4,-21.559,-21.671,0.46200,0.24000,4.3333,4.0000,6.8000,7.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_40527.1,-40.194,-39.816,0.049333,0.030000,8.4667,8.0000,10.133,10.000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_40845.1,-22.728,-22.746,0.16933,0.10000,6.4667,7.0000,7.8667,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_40892.1,-28.424,-28.990,0.060667,0.030000,4.5333,5.0000,7.1333,7.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_41139.1,-18.233,-17.876,0.50067,0.51000,2.3333,2.0000,4.8000,5.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_41397.2,-11.914,-11.645,90.944,94.800,3.5333,4.0000,5.6667,5.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_41766.2,-17.976,-17.732,1.4573,1.5700,3.6000,4.0000,4.6667,5.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_41791.1,-44.849,-44.782,0.0080000,0.0000,6.2667,6.0000,8.2000,8.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_42397.1,-33.026,-33.159,0.0000,0.0000,5.3333,5.0000,6.8667,7.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_43316.1,-19.981,-19.114,46.471,53.800,4.1333,4.0000,6.1333,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_43946.1,-85.258,-85.253,0.0000,0.0000,6.3333,6.0000,8.6667,9.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_44067.2,-32.417,-31.989,6.8120,6.8000,6.8000,7.0000,8.9333,9.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_44540.2,-32.069,-31.195,0.0000,0.0000,2.9333,3.0000,5.1333,5.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_44803.1,-20.494,-21.198,0.16867,0.080000,3.9333,4.0000,7.9333,8.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_45262.2,-26.313,-26.506,0.21267,0.060000,3.9333,4.0000,7.0667,7.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_45794.1,-29.655,-28.604,23.075,28.500,6.8000,7.0000,8.5333,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_46306.1,-13.365,-12.595,49.169,62.340,5.7333,6.0000,7.6667,8.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_46435.1,-68.104,-67.401,0.0000,0.0000,8.4667,8.0000,9.8667,10.000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_46648.1,-24.786,-24.656,0.0020000,0.0000,4.0000,4.0000,5.8667,6.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_47174.5,-21.973,-22.001,0.10867,0.10000,2.9333,3.0000,4.4000,4.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_47444.3,-22.091,-23.736,47.443,33.090,4.0667,4.0000,5.0667,5.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_47687.1,-29.395,-29.784,12.429,8.1600,7.1333,7.0000,7.7333,8.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_47758.1,-15.881,-16.251,13.206,6.6600,2.8000,3.0000,5.9333,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_48918.1,-33.987,-33.548,0.39133,0.32000,5.3333,5.0000,7.0667,7.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_49493.2,-29.269,-28.162,10.745,12.960,5.2667,5.0000,6.1333,6.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_50521.1,-34.860,-34.764,10.593,6.6200,6.4667,6.0000,8.0667,8.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_52173.1,-15.751,-15.377,5.9400,6.1600,2.8667,3.0000,4.6000,5.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_52509.1,-23.137,-21.978,2.1653,2.0100,3.1333,3.0000,4.7333,5.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_52940.1,-33.383,-32.710,0.49200,0.60000,7.6000,8.0000,9.1333,9.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_52958.1,-15.182,-16.101,41.335,25.760,5.0000,5.0000,8.4667,9.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_53323.1,-16.536,-17.125,39.966,33.590,4.9333,5.0000,6.9333,7.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_53635.2,-29.722,-29.658,1.1180,0.53000,5.3333,5.0000,6.4667,6.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_53774.1,-16.727,-15.636,7.5720,6.4600,3.2667,3.0000,4.4667,4.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_53988.1,-34.419,-33.833,0.056000,0.060000,6.6667,7.0000,8.1333,8.0000,0.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_54420.1,-14.409,-14.752,48.483,43.980,3.6000,4.0000,6.2000,6.0000,1.0000
C:\Users\zirbel\Dropbox\Motifs\lib\IL\1.0\sequences\IL_24982.3.fasta,IL_54450.1,-19.922,-19.850,0.35200,0.29000,2.4000,2.0000,5.4667,5.0000,0.0000
